prompt,prompt_text,generation,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_sd_s,duration_success_mean_s,duration_success_sd_s,coverage_mean_pct,coverage_sd_pct,coverage_success_mean_pct,coverage_success_sd_pct,collisions_total,collisions_mean,collisions_sd
1,"Claim a box that is not claimed by another robot, approach it, and pick it up. Then search for the delivery zone that is the same color as the claimed box, approach it, and drop the box there. Each robot should deliver only one box and avoid the obstacles.",1,5,4,80.0,274.2538,196.10475311975483,192.78075,121.99202172145317,57.0,8.19756061276768,58.5,8.52936105461599,0,0.0,0.0
1,"Claim a box that is not claimed by another robot, approach it, and pick it up. Then search for the delivery zone that is the same color as the claimed box, approach it, and drop the box there. Each robot should deliver only one box and avoid the obstacles.",2,5,5,100.0,118.86760000000001,44.099561651336174,118.86760000000001,44.099561651336174,61.0,6.899275324264136,61.0,6.899275324264136,0,0.0,0.0
1,"Claim a box that is not claimed by another robot, approach it, and pick it up. Then search for the delivery zone that is the same color as the claimed box, approach it, and drop the box there. Each robot should deliver only one box and avoid the obstacles.",3,5,5,100.0,140.273,73.86962967823786,140.273,73.86962967823786,58.8,6.368673331236264,58.8,6.368673331236264,0,0.0,0.0
2,"Using three robots, find the red, green, and blue boxes, deliver each box to its matching colored zone, and complete all three deliveries. Each robot should deliver one box and avoid collisions.",1,5,5,100.0,127.4182,55.65016835697804,127.4182,55.65016835697804,63.6,6.887670143089026,63.6,6.887670143089026,0,0.0,0.0
2,"Using three robots, find the red, green, and blue boxes, deliver each box to its matching colored zone, and complete all three deliveries. Each robot should deliver one box and avoid collisions.",2,5,5,100.0,118.9058,29.329538246620928,118.9058,29.329538246620928,59.4,6.343500610861483,59.4,6.343500610861483,0,0.0,0.0
2,"Using three robots, find the red, green, and blue boxes, deliver each box to its matching colored zone, and complete all three deliveries. Each robot should deliver one box and avoid collisions.",3,5,5,100.0,97.825,21.712745538047464,97.825,21.712745538047464,58.4,5.986651818838307,58.4,5.986651818838307,0,0.0,0.0
3,"Choose an object, pick it up, and deliver it to its matching delivery zone. To pick up the object, the robot must search for and approach it. To drop the object, search for and approach the matching delivery zone.",1,5,3,60.0,311.71320000000003,235.86371416934824,119.43733333333334,17.159948840897588,60.6,7.787168933572714,58.0,4.898979485566356,1,0.2,0.4
3,"Choose an object, pick it up, and deliver it to its matching delivery zone. To pick up the object, the robot must search for and approach it. To drop the object, search for and approach the matching delivery zone.",2,5,5,100.0,131.0142,54.5027788113597,131.0142,54.5027788113597,60.6,7.337574531137657,60.6,7.337574531137657,0,0.0,0.0
3,"Choose an object, pick it up, and deliver it to its matching delivery zone. To pick up the object, the robot must search for and approach it. To drop the object, search for and approach the matching delivery zone.",3,5,4,80.0,226.80739999999997,192.69955961921656,133.4655,53.41206669611278,59.6,4.317406628984581,59.25,4.763139720814412,0,0.0,0.0
4,"There are three robots, three objects, and three delivery zones in the environment. Choose an object and deliver it to its matching zone. Each robot should deliver one object.",1,5,5,100.0,128.1988,40.21973226365387,128.1988,40.21973226365387,61.4,6.437390775772433,61.4,6.437390775772433,0,0.0,0.0
4,"There are three robots, three objects, and three delivery zones in the environment. Choose an object and deliver it to its matching zone. Each robot should deliver one object.",2,5,5,100.0,130.3422,73.35725273318242,130.3422,73.35725273318242,57.6,2.939387691339814,57.6,2.939387691339814,0,0.0,0.0
4,"There are three robots, three objects, and three delivery zones in the environment. Choose an object and deliver it to its matching zone. Each robot should deliver one object.",3,5,4,80.0,223.90400000000002,191.64865465324823,129.8385,40.864619008991134,60.8,6.241794613730894,58.75,5.261891294962297,1,0.2,0.4
5,Each robot should collect a box and take it to its corresponding matching colored dropping zone.,1,5,3,60.0,295.331,248.8946809805304,92.12733333333333,4.27511795808672,63.4,12.306096050332128,55.666666666666664,4.714045207910317,0,0.0,0.0
5,Each robot should collect a box and take it to its corresponding matching colored dropping zone.,2,5,5,100.0,106.23740000000001,23.787498368680975,106.23740000000001,23.787498368680975,59.4,4.841487374764082,59.4,4.841487374764082,0,0.0,0.0
5,Each robot should collect a box and take it to its corresponding matching colored dropping zone.,3,5,5,100.0,178.9438,99.83909267496375,178.9438,99.83909267496375,61.0,7.183313998427188,61.0,7.183313998427188,0,0.0,0.0
